date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-04-09,3836.0,139422.0,540.0,17669.0,,,63.4449887952445,8.931254939893646,
2020-04-10,4204.0,143626.0,612.0,18281.0,,,69.53147364317202,10.122088931879466,
2020-04-11,3951.0,147577.0,570.0,18851.0,,,65.34701531022185,9.427435769887738,
2020-04-12,4694.0,152271.0,619.0,19470.0,,,77.63576053307551,10.237864458878088,
2020-04-13,4092.0,156363.0,431.0,19901.0,,,67.67906521119407,7.128464590915114,
2020-04-14,3153.0,159516.0,564.0,20465.0,,,52.14860523237901,9.328199603888919,
2020-04-15,2972.0,162488.0,604.0,21069.0,,,49.15498089141466,9.989774043881042,
2020-04-16,2667.0,165155.0,578.0,21647.0,,,44.11047578647473,9.559750657886163,
2020-04-17,3786.0,168941.0,525.0,22172.0,,,62.61802074525434,8.6831645248966,
2020-04-18,3493.0,172434.0,575.0,22747.0,,,57.771987972312054,9.510132574886754,
2020-04-19,3491.0,175925.0,480.0,23227.0,,,57.738909250312446,7.9388932799054635,
2020-04-20,3047.0,178972.0,433.0,23660.0,7841.0,943151.0,50.39543296639989,7.16154331291472,129.6851295994557
2020-04-21,2256.0,181228.0,454.0,24114.0,28095.0,971246.0,37.312798415555676,7.5088698939105845,464.6733472894667
2020-04-22,2729.0,183957.0,534.0,24648.0,44248.0,1015494.0,45.13591616846252,8.832018773894829,731.8336455192854
2020-04-23,3370.0,187327.0,437.0,25085.0,37083.0,1052577.0,55.73764656933628,7.227700756913933,613.3291239556964
2020-04-24,2646.0,189973.0,464.0,25549.0,95273.0,1147850.0,43.76314920547887,7.674263503908615,1575.754540534236
2020-04-25,3021.0,192994.0,420.0,25969.0,38676.0,1186526.0,49.96540958040501,6.94653161991728,639.6763260283827
2020-04-26,2357.0,195351.0,415.0,26384.0,24113.0,1210639.0,38.98327387653579,6.863834814918265,398.8136117882509
2020-04-27,2324.0,197675.0,260.0,26644.0,26678.0,1237317.0,38.437474963542286,4.300233859948793,441.23707275274575
2020-04-28,1739.0,199414.0,333.0,26977.0,37554.0,1274871.0,28.7619487786575,5.507607212934415,621.1191629866037
2020-04-29,2091.0,201505.0,382.0,27359.0,38589.0,1313460.0,34.583803850588176,6.318035901924765,638.2374016213998
2020-04-30,2086.0,203591.0,323.0,27682.0,41441.0,1354901.0,34.50110704558916,5.342213602936385,685.4076591928382
2020-05-01,1872.0,205463.0,285.0,27967.0,43732.0,1398633.0,30.96168379163131,4.713717884943869,723.299335243387
2020-05-02,1965.0,207428.0,269.0,28236.0,31231.0,1429864.0,32.49984436461299,4.44908810894702,516.5407833848491
2020-05-03,1900.0,209328.0,474.0,28710.0,27047.0,1456911.0,31.424785899625792,7.839657113906646,447.34009696167305
2020-05-04,1389.0,210717.0,174.0,28884.0,22999.0,1479910.0,22.973172428726436,2.8778488139657306,380.3887636344703
2020-05-05,1221.0,211938.0,195.0,29079.0,32211.0,1512121.0,20.194559780759523,3.2251753949615947,532.749357164656
2020-05-06,1075.0,213013.0,236.0,29315.0,37771.0,1549892.0,17.77981307478828,3.9032891959535196,624.708204323561
2020-05-07,1444.0,214457.0,369.0,29684.0,13665.0,1563557.0,23.882837283715602,6.103024208927325,226.01036806230866
2020-05-08,1401.0,215858.0,274.0,29958.0,45428.0,1608985.0,23.17164476072407,4.531784913946035,751.350091499053
2020-05-09,1327.0,217185.0,243.0,30201.0,36091.0,1645076.0,21.947732046738647,4.019064722952141,596.9220778438919
2020-05-10,1083.0,218268.0,194.0,30395.0,31384.0,1676460.0,17.912127962786702,3.2086360339617914,519.0713056178189
2020-05-11,802.0,219070.0,165.0,30560.0,25823.0,1702283.0,13.264567521842045,2.728994564967503,427.09591909791413
2020-05-12,744.0,219814.0,179.0,30739.0,39620.0,1741903.0,12.305284583853469,2.960545618964746,655.2894828121969
2020-05-13,1402.0,221216.0,172.0,30911.0,37049.0,1778952.0,23.188184121723875,2.8447700919661245,612.7667856817031
2020-05-14,888.0,222104.0,195.0,31106.0,41131.0,1820083.0,14.686952567825108,3.2251753949615947,680.2804572828992
2020-05-15,992.0,223096.0,262.0,31368.0,39027.0,1859110.0,16.407046111804625,4.333312581948399,645.4816417393137
2020-05-16,789.0,223885.0,242.0,31610.0,40657.0,1899767.0,13.049555828844605,4.002525361952338,672.4408001689926
2020-05-17,875.0,224760.0,153.0,31763.0,33505.0,1933272.0,14.471940874827668,2.5305222329698664,554.1512902984011
2020-05-18,675.0,225435.0,145.0,31908.0,26101.0,1959373.0,11.164068674867059,2.3982073449714423,431.6938614558594
2020-05-19,451.0,225886.0,99.0,32007.0,40226.0,1999599.0,7.459251810911176,1.637396738980502,665.3123355780774
2020-05-20,813.0,226699.0,162.0,32169.0,38617.0,2038216.0,13.44650049283988,2.679376481968094,638.7005037293943
2020-05-21,665.0,227364.0,161.0,32330.0,40644.0,2078860.0,10.998675064869028,2.662837120968291,672.2257884759952
2020-05-22,642.0,228006.0,156.0,32486.0,42987.0,2121847.0,10.618269761873558,2.5801403159692757,710.9775112985337
2020-05-23,652.0,228658.0,130.0,32616.0,42579.0,2164426.0,10.783663371871588,2.1501169299743963,704.2294520106141
2020-05-24,669.0,229327.0,119.0,32735.0,34206.0,2198632.0,11.064832508868239,1.9681839589765628,565.7453823592631
2020-05-25,531.0,229858.0,50.0,32785.0,20676.0,2219308.0,8.78240069089542,0.8269680499901525,341.96782803192787
2020-05-26,300.0,230158.0,92.0,32877.0,33944.0,2253252.0,4.961808299940915,1.5216212119818806,561.4120697773147
2020-05-27,397.0,230555.0,78.0,32955.0,37299.0,2290551.0,6.56612631692181,1.2900701579846379,616.9016259316539
2020-05-28,584.0,231139.0,117.0,33072.0,39838.0,2330389.0,9.65898682388498,1.9351052369769568,658.8950635101539
2020-05-29,593.0,231732.0,70.0,33142.0,38233.0,2368622.0,9.807841072883209,1.1577552699862135,632.34938910547
2020-05-30,516.0,232248.0,87.0,33229.0,36051.0,2404673.0,8.534310275898374,1.4389244069828653,596.2605034038997
2020-05-31,416.0,232664.0,111.0,33340.0,28948.0,2433621.0,6.880374175918068,1.8358690709781385,478.78142222229866
2020-06-01,355.0,233019.0,75.0,33415.0,18053.0,2451674.0,5.871473154930083,1.2404520749852288,298.58508412944445
2020-06-02,178.0,233197.0,60.0,33475.0,25628.0,2477302.0,2.9440062579649426,0.9923616599881829,423.87074370295255
2020-06-03,318.0,233515.0,55.0,33530.0,20035.0,2497337.0,5.25951679793737,0.9096648549891677,331.3660976310541
2020-06-04,321.0,233836.0,71.0,33601.0,27451.0,2524788.0,5.309134880936779,1.1742946309860165,454.0219988055935
2020-06-05,177.0,234013.0,88.0,33689.0,40470.0,2565258.0,2.92746689696514,1.4554637679826683,669.3479396620294
2020-06-06,518.0,234531.0,85.0,33774.0,34036.0,2599294.0,8.567388997897979,1.4058456849832592,562.9336909892966
2020-06-07,270.0,234801.0,72.0,33846.0,27894.0,2627188.0,4.465627469946823,1.1908339919858195,461.34893572850626
2020-06-08,197.0,234998.0,53.0,33899.0,16301.0,2643489.0,3.2582541169612007,0.8765861329895616,269.6081236577895
2020-06-09,280.0,235278.0,65.0,33964.0,32200.0,2675689.0,4.631021079944854,1.0750584649871981,532.5674241936582
2020-06-10,283.0,235561.0,79.0,34043.0,37865.0,2713554.0,4.680639162944263,1.3066095189844409,626.2629042575425
2020-06-11,202.0,235763.0,71.0,34114.0,32991.0,2746545.0,3.340950921960216,1.1742946309860165,545.6500587445024
2020-06-12,379.0,236142.0,53.0,34167.0,37651.0,2784196.0,6.268417818925355,0.8765861329895616,622.7234810035847
2020-06-13,163.0,236305.0,56.0,34223.0,32880.0,2817076.0,2.695915842967897,0.9262042159889707,543.8141896735243
2020-06-14,346.0,236651.0,78.0,34301.0,29545.0,2846621.0,5.722618905931855,1.2900701579846379,488.65542073918107
2020-06-15,338.0,236989.0,44.0,34345.0,17463.0,2864084.0,5.5903040179334305,0.7277318839913341,288.82686113956066
2020-06-16,301.0,237290.0,26.0,34371.0,27762.0,2891846.0,4.978347660940718,0.43002338599487927,459.16574007653224
2020-06-17,210.0,237500.0,34.0,34405.0,33957.0,2925803.0,3.47326580995864,0.5623382739933037,561.6270814703122
2020-06-18,328.0,237828.0,43.0,34448.0,32921.0,2958724.0,5.4249104079354,0.7111925229915311,544.4923034745162
2020-06-19,331.0,238159.0,66.0,34514.0,28570.0,2987294.0,5.4745284909348095,1.0915978259870012,472.5295437643731
2020-06-20,297.5,238456.5,47.0,34561.0,29875.0,3017169.0,4.9204598974414075,0.7773499669907433,494.1134098691161
2020-06-21,264.0,238720.5,49.0,34610.0,24581.0,3041750.0,4.366391303948005,0.8104286889903494,406.5540327361588
2020-06-22,224.0,238944.5,24.0,34634.0,16152.0,3057902.0,3.704816863955883,0.3969446639952732,267.14375886881885
2020-06-23,221.0,239165.5,23.0,34657.0,23225.0,3081127.0,3.655198780956474,0.38040530299547015,384.12665922042584
2020-06-24,113.0,239278.5,18.0,34675.0,30237.0,3111364.0,1.8689477929777445,0.2977084979964549,500.1006585510448
2020-06-25,577.0,239855.5,-31.0,34644.0,29421.0,3140785.0,9.54321129688636,-0.5127201909938945,486.6045399752055
2020-06-26,296.0,240151.5,34.0,34678.0,28331.0,3169116.0,4.895650855941702,0.5623382739933037,468.5766364854202
